Money Available,First Name,TicketMiner Membership,Username,Concerts Purchased,Password,ID,Last Name
1373.62,Mickey,true,mickeymouse,0,Fun!23,1,Mouse
3224.44,Donald,false,donaldduck,0,Fun!23,2,Duck
1949.71,Minnie,false,minniemouse,0,Fun!23,3,Mouse
5848.49,Goofy,false,goofydisney,0,Fun!23,4,Disney
1165.79,Pluto,true,plutodisney,0,Fun!23,5,Disney
1644.86,Chip,true,chipdisney,0,Fun!23,6,Disney
2311.62,Dale,true,daledisney,0,Fun!23,7,Disney
3625.84,Cinderella,false,cinderelladisney,0,Fun!23,8,Disney
1335.79,Ariel,true,arieldisney,0,Fun!23,9,Disney
971.02,Jasmine,false,jasminedisney,0,Fun!23,10,Disney
3309.31,Aladdin,false,aladdindisney,0,Fun!23,11,Disney
3264.84,Simba,false,simbadisney,0,Fun!23,12,Disney
5726.83,Mufassa,true,mufassadisney,0,Fun!23,13,Disney
2563.82,Aurora,true,auroradisney,0,Fun!23,14,Disney
4956.43,Peter,true,peterpan,0,Fun!23,15,Pan
3315.15,Woody,false,woodydisney,0,Fun!23,16,Disney
3902.73,Buzz,true,buzzlightyear,0,Fun!23,17,Lightyear
2958.47,Jafar,true,jafaraladdin,0,Fun!23,18,Aladdin
3133.06,Ursela,true,urselamermaid,0,Fun!23,19,Mermaid
1343.31,Beast,true,beastdisney,0,Fun!23,20,Disney
5847.07,Belle,true,belledisney,0,Fun!23,21,Disney
5140.87,Cruella,false,cruelladevil,0,Fun!23,22,DeVil
5509.13,Scar,true,scarlion,0,Fun!23,23,Lion
2358.95,Simba,false,simbaking,0,Fun!23,24,King
3352.16,Gaston,false,gastondisney,0,Fun!23,25,Disney
5056.34,Shere,true,sherekhan,0,Fun!23,26,Khan
1999.41,Captaiin,false,captaiinhook,0,Fun!23,27,Hook
3040.34,Kaa,false,kaadisney,0,Fun!23,28,Disney
1331.94,Evil,false,evilqueen,0,Fun!23,29,Queen
5379.8,Pinocchio,true,pinocchiodisney,0,Fun!23,30,Disney
4809.49,Prince,true,princeeric,0,Fun!23,31,Eric
5492.43,Quasimodo,false,quasimododisney,0,Fun!23,32,Disney
4030.24,Hercules,false,herculesdisney,0,Fun!23,33,Disney
5009.72,Mulan,false,mulandisney,0,Fun!23,34,Disney
2884.93,Lilo,false,lilodisney,0,Fun!23,35,Disney
2275.56,Stitch,true,stitchdisney,0,Fun!23,36,Disney
1822.17,Daniel,false,danielmejia,0,Fun!23,37,Mejia
4657.96,Alireza,false,alirezanouri,0,Fun!23,38,Nouri
2459.69,Sam,false,samalderete,0,Fun!23,39,Alderete
4625.64,Carlo,true,carloalonso,0,Fun!23,40,Alonso
2188.43,Gael,true,argumedogael,0,Fun!23,41,Argumedo
1200.13,Kevin,false,ayala vilchiskevin,0,Fun!23,42,Ayala Vilchis
3293.33,David,true,baidavid,0,Fun!23,43,Bai
4557.53,Emmanuel,true,barraza-villaemmanuel,0,Fun!23,44,Barraza-Villa
1343.41,Angel,false,bautistaangel,0,Fun!23,45,Bautista
2498.07,JohnMichael,false,betancourtjohnmichael,0,Fun!23,46,Betancourt
5291.14,Saul,true,burnssaul,0,Fun!23,47,Burns
3461.39,Caelyn,true,camposcaelyn,0,Fun!23,48,Campos
5733.38,Daniel,true,cardenasdaniel,0,Fun!23,49,Cardenas
4637.34,Zachary,false,carrejozachary,0,Fun!23,50,Carrejo
4857.59,Luis,false,carreonluis,0,Fun!23,51,Carreon
2930.98,Anthony,true,casillasanthony,0,Fun!23,52,Casillas
2328.06,Brian,true,casio irachetabrian,0,Fun!23,53,Casio Iracheta
5616.43,Michael,false,closemichael,0,Fun!23,54,Close
2073.61,Ridley,true,deanridley,0,Fun!23,55,Dean
2025.68,Sam,true,dominguez-floressam,0,Fun!23,56,Dominguez-Flores
5196.92,Tenzin,true,draduktenzin,0,Fun!23,57,Draduk
3053.29,Maria,false,duronmaria,0,Fun!23,58,Duron
1116.7,Matthieu,true,enriquezmatthieu,0,Fun!23,59,Enriquez
1634.44,Lucas,true,esquivellucas,0,Fun!23,60,Esquivel
1209.61,Evelyn,true,fangevelyn,0,Fun!23,61,Fang
2291.4,Emily,true,fernandezemily,0,Fun!23,62,Fernandez
1475.25,Eugenio,true,fernandezeugenio,0,Fun!23,63,Fernandez
